season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
fallmigr,SATE,92,0.09859154929577464,Thalasseus sandvicensis,Sandwich Tern
fallmigr,SBMU,92,0.29577464788732394,Lonchura punctulata,Scaly-breasted Munia
fallmigr,SEPL,92,0.028169014084507043,Charadrius semipalmatus,Semipalmated Plover
fallmigr,SESA,92,0.014084507042253521,Calidris pusilla,Semipalmated Sandpiper
fallmigr,SHCO,92,0.056338028169014086,Molothrus bonariensis,Shiny Cowbird
fallmigr,SNEG,92,0.056338028169014086,Egretta thula,Snowy Egret
fallmigr,SNPI,92,0.056338028169014086,Patagioenas squamosa,Scaly-naped Pigeon
fallmigr,SOSA,92,0.014084507042253521,Tringa solitaria,Solitary Sandpiper
fallmigr,SPSA,92,0.08450704225352113,Actitis macularius,Spotted Sandpiper
fallmigr,SUCO,92,0.014084507042253521,Cacatua galerita,Sulphur-crested Cockatoo
fallmigr,TRHE,92,0.014084507042253521,Egretta tricolor,Tricolored Heron
fallmigr,TUVU,92,0.08450704225352113,Cathartes aura,Turkey Vulture
fallmigr,UNEM,92,0.014084507042253521,Empidonax (sp),Unidentified Empidonax
fallmigr,VEHU,92,0.971830985915493,Mellisuga minima,Vervain Hummingbird
fallmigr,VIWE,92,0.647887323943662,Ploceus cucullatus,Village Weaver
fallmigr,WCPI,92,0.014084507042253521,Patagioenas leucocephala,White-crowned Pigeon
fallmigr,WWDO,92,0.971830985915493,Zenaida asiatica,White-winged Dove
fallmigr,YBCU,92,0.014084507042253521,Coccyzus americanus,Yellow-billed Cuckoo
fallmigr,YCNH,92,0.15492957746478872,Nyctanassa violacea,Yellow-crowned Night-Heron
fallmigr,YFGR,92,0.971830985915493,Tiaris olivaceus,Yellow-faced Grassquit
fallmigr,YTWA,92,0.16901408450704225,Setophaga dominica,Yellow-throated Warbler
ovrwintr,AMKE,66,0.971830985915493,Falco sparverius,American Kestrel
ovrwintr,AMRE,66,0.7323943661971831,Setophaga ruticilla,American Redstart
ovrwintr,ANPS,66,0.971830985915493,Tachornis phoenicobia,Antillean Palm-Swift
ovrwintr,BANA,66,0.971830985915493,Coereba flaveola,Bananaquit
ovrwintr,BARS,66,0.18309859154929578,Hirundo rustica,Barn Swallow
ovrwintr,BAWW,66,0.18309859154929578,Mniotilta varia,Black-and-white Warbler
