ScientificName,CommonNameEnglish,AlphaCode,CommonNameSpanish,OccurenceStatus,ForagingSubGuildEnglish,ForagingGuildEnglish,ForagingSubGuildSpanish,ForagingGuildSpanish
Helmitheros vermivorus,Worm-eating Warbler,WEWA,Cigüíta Cabeza Rayada,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Geotrygon leucometopia,White-fronted Quail-Dove,WFRQ,Perdíz Coquito Blanco,M ,Gran-Frug,Frugivore,Gran-Frug,Frugívoro
Eudocimus albus,White Ibis,WHIB,Coco Blanco,R,Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Numenius phaeopus,Whimbrel,WHIM,Playero Picocorvo,M,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Tringa semipalmatus,Willet,WILL,Chorlo,M,Carnivore,Carnivore,Carnívoro,Carnívoro
Charadrius wilsonia,Wilson's Plover,WIPL,Chorlito de Wilson,"R, M",Invertivore,Invertivore,Invertívoro,Invertívoro
Gallinago delicata,Wilson's Snipe,WISN,Cigüita de Wilson,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Cardellina pusilla,Wilson's Warbler,WIWA,Cigüita de Wilson,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Dendrocygna arborea,West Indian Whistling-Duck,WIWD,Yaguaza,R,Frug-Gran,Frugivore,Frug-Gran,Frugívoro
Corvus leucognaphalus ,White-necked Crow,WNCR,Cuervo,M,Omnivore,Omnivore,Omnívoro,Omnívoro
Calidris fuscicollis,White-rumped Sandpiper,WRSA,Playero de Rabadilla Blanca,M,Invert-Gran,Invertivore,Invert-Gran,Invertívoro
Phaethon lepturus,White-tailed Tropicbird,WTTR,Rabijunco Coliblanco,"R, M",Pisc-Invert,Piscivore,Pisc-Invert,Piscívoro
Zenaida asiatica,White-winged Dove,WWDO,Aliblanca,R,Gran-Frug,Granivore,Gran-Frug,Granívoro
Xenoligea montana ,White-winged Warbler,WWWA,Cigüita Aliblanca,"R, M",Invert-glean,Invertivore,Invert-busc,Invertívoro
Coccyzus americanus,Yellow-billed Cuckoo,YBCU,Pájaro Bobo Pico Amarillo,M,Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Sphyrapicus varius,Yellow-bellied Sapsucker,YBSA,Carpintero de Paso,M,Omnivore,Omnivore,Omnívoro,Omnívoro
Nyctanassa violacea,Yellow-crowned Night-Heron,YCNH,Rey Congo,"R, M",Carn-Pisc,Carnivore,Carn-Pisc,Carnívoro
Setophaga petechia,Yellow Warbler,YEWA,Canario de Manglar,"R, M",Invert-glean,Invertivore,Invert-busc,Invertívoro
Tiaris olivaceus,Yellow-faced Grassquit,YFGR,Cigüita de Hierba,R,Herb-Invert,Herbivore,Herb-Invert,Herbívoro
Setophaga coronata,Yellow-rumped Warbler,YRWA,Cigüita Mirta,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Vireo flavifrons,Yellow-throated Vireo,YTVI,Vireo Garganta Amarilla,M,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Setophaga dominica,Yellow-throated Warbler,YTWA,Cigüita Garganta Amarilla,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Zenaida aurita,Zenaida Dove,ZEND,Rolón,R,Gran-Frug,Granivore,Gran-Frug,Granívoro
