season,detection_richness,SppAlphaCode,ScientificName,CommonNameEnglish
nonbreed,63,BUDG,NA,NA
nonbreed,63,CAEG,Bubulcus ibis,Cattle Egret
nonbreed,63,CAMA,Progne dominicensis,Caribbean Martin
nonbreed,63,CGDO,Columbina passerina,Common Ground Dove
nonbreed,63,CMWA,Setophaga tigrina,Cape May Warbler
nonbreed,63,COTE,Sterna hirundo,Common Tern
nonbreed,63,COYE,Geothlypis trichas,Common Yellowthroat
nonbreed,63,EUCD,Streptopelia decaocto,Eurasian Collared-Dove
nonbreed,63,GAGR,Quiscalus niger,Greater Antillean Grackle
nonbreed,63,GRAK,Tyrannus dominicensis,Gray Kingbird
nonbreed,63,GREG,Ardea alba,Great Egret
nonbreed,63,GRHE,Butorides virescens,Green Heron
nonbreed,63,HILC,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
nonbreed,63,HIMA,Anthracothorax dominicus,Hispaniolan Mango
nonbreed,63,HIWO,Melanerpes striatus,Hispaniolan Woodpecker
nonbreed,63,HOSP,Passer domesticus,House Sparrow
nonbreed,63,HPAK,Psittacara chloropterus,Hispaniolan Parakeet
nonbreed,63,HPAT,Amazona ventralis,Hispaniolan Parrot
nonbreed,63,LAGU,Leucophaeus atricilla,Laughing Gull
nonbreed,63,LEYE,Tringa flavipes,Lesser Yellowlegs
nonbreed,63,MACU,Coccyzus minor,Mangrove Cuckoo
nonbreed,63,MAFR,Fregata magnificens,Magnificent Frigatebird
nonbreed,63,MAWA,Setophaga magnolia,Magnolia Warbler
nonbreed,63,MERL,Falco columbarius,Merlin
nonbreed,63,MODO,Zenaida macroura,Mourning Dove
nonbreed,63,NOMO,Mimus polyglottos,Northern Mockingbird
nonbreed,63,NOPA,Setophaga americana,Northern Parula
nonbreed,63,OSPR,Pandion haliaetus,Osprey
nonbreed,63,OVEN,Seiurus aurocapilla,Ovenbird
nonbreed,63,PALM,Dulus dominicus,Palmchat
nonbreed,63,PAWA,Setophaga palmarum,Palm Warbler
nonbreed,63,PEFA,Falco peregrinus,Peregrine Falcon
nonbreed,63,PETH,Margarops fuscatus,Pearly-eyed Thrasher
nonbreed,63,PRAW,Setophaga discolor,Prairie Warbler
