season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
fallmigr,SEPL,85,0.028169014084507043,Charadrius semipalmatus,Semipalmated Plover
fallmigr,SESA,85,0.014084507042253521,Calidris pusilla,Semipalmated Sandpiper
fallmigr,SHCO,85,0.056338028169014086,Molothrus bonariensis,Shiny Cowbird
fallmigr,SNEG,85,0.056338028169014086,Egretta thula,Snowy Egret
fallmigr,SNPI,85,0.056338028169014086,Patagioenas squamosa,Scaly-naped Pigeon
fallmigr,SOSA,85,0.014084507042253521,Tringa solitaria,Solitary Sandpiper
fallmigr,SPSA,85,0.08450704225352113,Actitis macularius,Spotted Sandpiper
fallmigr,SUCO,85,0.014084507042253521,Cacatua galerita,Sulphur-crested Cockatoo
fallmigr,TRHE,85,0.014084507042253521,Egretta tricolor,Tricolored Heron
fallmigr,TUVU,85,0.014084507042253521,Cathartes aura,Turkey Vulture
fallmigr,UNEM,85,0.014084507042253521,Empidonax (sp),Unidentified Empidonax
fallmigr,VEHU,85,0.971830985915493,Mellisuga minima,Vervain Hummingbird
fallmigr,VIWE,85,0.647887323943662,Ploceus cucullatus,Village Weaver
fallmigr,WCPI,85,0.014084507042253521,Patagioenas leucocephala,White-crowned Pigeon
fallmigr,WWDO,85,0.971830985915493,Zenaida asiatica,White-winged Dove
fallmigr,YBCU,85,0.014084507042253521,Coccyzus americanus,Yellow-billed Cuckoo
fallmigr,YCNH,85,0.15492957746478872,Nyctanassa violacea,Yellow-crowned Night-Heron
fallmigr,YFGR,85,0.971830985915493,Tiaris olivaceus,Yellow-faced Grassquit
fallmigr,YTWA,85,0.16901408450704225,Setophaga dominica,Yellow-throated Warbler
ovrwintr,AMKE,63,0.971830985915493,Falco sparverius,American Kestrel
ovrwintr,AMRE,63,0.7323943661971831,Setophaga ruticilla,American Redstart
ovrwintr,ANPS,63,0.4647887323943662,Tachornis phoenicobia,Antillean Palm-Swift
ovrwintr,BANA,63,0.971830985915493,Coereba flaveola,Bananaquit
ovrwintr,BARS,63,0.014084507042253521,Hirundo rustica,Barn Swallow
ovrwintr,BAWW,63,0.18309859154929578,Mniotilta varia,Black-and-white Warbler
ovrwintr,BCNH,63,0.014084507042253521,Nycticorax nycticorax,Black-crowned Night-Heron
ovrwintr,BEKI,63,0.028169014084507043,Megaceryle alcyon,Belted Kingfisher
ovrwintr,BPLT,63,0.8732394366197183,Phaenicophilus palmarum,Black-crowned Palm-Tanager
ovrwintr,BRPE,63,0.028169014084507043,Pelecanus occidentalis,Brown Pelican
ovrwintr,BUDG,63,0.09859154929577464,NA,NA
ovrwintr,CAEG,63,0.2112676056338028,Bubulcus ibis,Cattle Egret
ovrwintr,CAMA,63,0.04225352112676056,Progne dominicensis,Caribbean Martin
ovrwintr,CGDO,63,0.971830985915493,Columbina passerina,Common Ground Dove
ovrwintr,CMWA,63,0.8591549295774648,Setophaga tigrina,Cape May Warbler
ovrwintr,COTE,63,0.028169014084507043,Sterna hirundo,Common Tern
ovrwintr,COYE,63,0.09859154929577464,Geothlypis trichas,Common Yellowthroat
ovrwintr,EUCD,63,0.9577464788732394,Streptopelia decaocto,Eurasian Collared-Dove
