season,SppAlphaCode,avg_abund,sd_abund,max_abund,sum_abund,ScientificName,CommonNameEnglish
ovrwintr,PEFA,1.065217391304348,0.24963741822833801,2,49,Falco peregrinus,Peregrine Falcon
ovrwintr,PETH,1,0,1,5,Margarops fuscatus,Pearly-eyed Thrasher
ovrwintr,PRAW,1.0681818181818181,0.2549717059293527,2,47,Setophaga discolor,Prairie Warbler
ovrwintr,PUMA,2,NA,2,2,Progne subis,Purple Martin
ovrwintr,RBGR,1,NA,1,1,Pheucticus ludovicianus,Rose-breasted Grosbeak
ovrwintr,RLTH,1.4385964912280702,0.6788210461756047,4,164,Turdus plumbeus,Red-legged Thrush
ovrwintr,ROPI,29.370189370800244,54.20526991743799,504,48079,Columba livia,Rock Pigeon
ovrwintr,ROYT,4.7,4.04927631256033,20,564,Thalasseus maximus,Royal Tern
ovrwintr,RUTU,2.3333333333333335,0.5773502691896257,3,7,Arenaria interpres,Ruddy Turnstone
ovrwintr,SATE,2.3333333333333335,1.1547005383792515,4,49,Thalasseus sandvicensis,Sandwich Tern
ovrwintr,SBMU,4.444444444444445,2.242270674512285,7,40,Lonchura punctulata,Scaly-breasted Munia
ovrwintr,SEPL,3.5,0.7071067811865476,4,7,Charadrius semipalmatus,Semipalmated Plover
ovrwintr,SHCO,2.857142857142857,3.3380918415851206,10,20,Molothrus bonariensis,Shiny Cowbird
ovrwintr,SNEG,1.6,0.8944271909999159,3,8,Egretta thula,Snowy Egret
ovrwintr,SNPI,1.5714285714285714,0.5345224838248488,2,11,Patagioenas squamosa,Scaly-naped Pigeon
ovrwintr,SPSA,1.2926829268292683,0.6420242378222333,3,53,Actitis macularius,Spotted Sandpiper
ovrwintr,TUVU,2,1,3,6,Cathartes aura,Turkey Vulture
ovrwintr,VEHU,1.230263157894737,0.935976138030945,18,748,Mellisuga minima,Vervain Hummingbird
ovrwintr,VIWE,10.264705882352942,17.764090193637497,174,1047,Ploceus cucullatus,Village Weaver
ovrwintr,WWDO,3.1984313725490194,3.0969165886317924,41,4078,Zenaida asiatica,White-winged Dove
ovrwintr,YCNH,2.6944444444444446,1.7207879332187075,7,97,Nyctanassa violacea,Yellow-crowned Night-Heron
ovrwintr,YFGR,2.326530612244898,1.2405680409054998,11,1710,Tiaris olivaceus,Yellow-faced Grassquit
ovrwintr,YTWA,1.125,0.3378319623460881,2,27,Setophaga dominica,Yellow-throated Warbler
sprgmigr,AMKE,1.151063829787234,0.4238982158603743,5,541,Falco sparverius,American Kestrel
sprgmigr,AMRE,1.161904761904762,0.4678956044175912,4,366,Setophaga ruticilla,American Redstart
sprgmigr,ANPS,4.438184663536776,3.389908163913089,47,5672,Tachornis phoenicobia,Antillean Palm-Swift
sprgmigr,BANA,3.3325168401714635,2.7522766151035567,31,5442,Coereba flaveola,Bananaquit
sprgmigr,BARS,2,NA,2,2,Hirundo rustica,Barn Swallow
sprgmigr,BAWW,1,0,1,18,Mniotilta varia,Black-and-white Warbler
sprgmigr,BCNH,1,0,1,2,Nycticorax nycticorax,Black-crowned Night-Heron
sprgmigr,BEKI,1.2,0.44721359549995793,2,6,Megaceryle alcyon,Belted Kingfisher
sprgmigr,BLSW,17,21.213203435596427,32,34,Cypseloides niger,Black Swift
sprgmigr,BPLT,1.9233278955954323,0.5821366030939308,6,1179,Phaenicophilus palmarum,Black-crowned Palm-Tanager
sprgmigr,BRNO,1.125,0.3535533905932738,2,9,Anous stolidus,Brown Noddy
sprgmigr,BRPE,3.192982456140351,3.085441673127781,26,364,Pelecanus occidentalis,Brown Pelican
sprgmigr,BUDG,1,0,1,4,NA,NA
sprgmigr,BWTE,2,NA,2,2,Spatula discors,Blue-winged Teal
sprgmigr,BWVI,1,0,1,3,Vireo altiloquus,Black-whiskered Vireo
sprgmigr,CAEG,2.2790697674418605,2.710873882957731,13,98,Bubulcus ibis,Cattle Egret
sprgmigr,CAMA,3.1462264150943398,2.2523994379581302,19,667,Progne dominicensis,Caribbean Martin
sprgmigr,CASW,2.142857142857143,0.3779644730092272,3,15,Petrochelidon fulva,Cave Swallow
sprgmigr,CGDO,2.109154929577465,1.9717084406916303,45,2396,Columbina passerina,Common Ground Dove
sprgmigr,CMWA,1.7754318618042226,1.1902856216949116,8,925,Setophaga tigrina,Cape May Warbler
sprgmigr,COGA,1.5,0.7071067811865476,2,3,Gallinula galeata,Common Gallinule
sprgmigr,COTE,3.3333333333333335,2.8751811537130436,9,20,Sterna hirundo,Common Tern
sprgmigr,COYE,1.588235294117647,0.7952062255644573,3,27,Geothlypis trichas,Common Yellowthroat
sprgmigr,EUCD,2.625,2.307230425485699,24,1869,Streptopelia decaocto,Eurasian Collared-Dove
sprgmigr,GAGR,3.073529411764706,1.5711866378570027,8,418,Quiscalus niger,Greater Antillean Grackle
sprgmigr,GBTE,1,NA,1,1,Gelochelidon nilotica,Gull-billed Tern
sprgmigr,GLIB,24,NA,24,24,Plegadis falcinellus,Glossy Ibis
sprgmigr,GRAK,2.117880794701987,1.718610797684723,24,3198,Tyrannus dominicensis,Gray Kingbird
sprgmigr,GREG,1.2962962962962963,0.8234456132997965,5,35,Ardea alba,Great Egret
sprgmigr,GRHE,1.303030303030303,0.7699370300894939,4,43,Butorides virescens,Green Heron
sprgmigr,HILC,1.0574712643678161,0.2793814529593636,3,92,Coccyzus longirostris,Hispaniolan Lizard-Cuckoo
sprgmigr,HIMA,1.1944954128440366,0.9846090279590565,17,651,Anthracothorax dominicus,Hispaniolan Mango
sprgmigr,HIWO,2.4893487522824103,2.001607697792382,26,4090,Melanerpes striatus,Hispaniolan Woodpecker
sprgmigr,HOSP,7.0248724489795915,7.02198343914204,214,11015,Passer domesticus,House Sparrow
sprgmigr,HPAK,9.998338870431894,13.231238279117608,120,12038,Psittacara chloropterus,Hispaniolan Parakeet
sprgmigr,HPAT,2.8701298701298703,2.2541212762674396,22,442,Amazona ventralis,Hispaniolan Parrot
sprgmigr,KILL,1,NA,1,1,Charadrius vociferus,Killdeer
sprgmigr,LAGU,1.4,0.5477225575051661,2,7,Leucophaeus atricilla,Laughing Gull
sprgmigr,LBHE,1,NA,1,1,Egretta caerulea,Little Blue Heron
sprgmigr,LETE,2.25,1.8929694486000912,5,9,Sternula antillarum,Least Tern
sprgmigr,LEYE,14,NA,14,14,Tringa flavipes,Lesser Yellowlegs
sprgmigr,MAFR,1.7966101694915255,1.3232621787415757,7,106,Fregata magnificens,Magnificent Frigatebird
sprgmigr,MAWA,1,0,1,2,Setophaga magnolia,Magnolia Warbler
sprgmigr,MERL,1.0224719101123596,0.1490521636791844,2,91,Falco columbarius,Merlin
sprgmigr,MODO,2.7101782633697526,1.8878098812434934,18,4713,Zenaida macroura,Mourning Dove
sprgmigr,NOMO,2.0107095046854084,1.417959454058747,17,1502,Mimus polyglottos,Northern Mockingbird
sprgmigr,NOPA,1.2065217391304348,0.5089320757306518,4,333,Setophaga americana,Northern Parula
sprgmigr,NOWA,1,NA,1,1,Parkesia noveboracensis,Northern Waterthrush
sprgmigr,OSPR,1,0,1,6,Pandion haliaetus,Osprey
sprgmigr,PALM,8.827008928571429,8.310634841074023,82,15818,Dulus dominicus,Palmchat
sprgmigr,PEFA,1.0434782608695652,0.20851441405707477,2,24,Falco peregrinus,Peregrine Falcon
sprgmigr,PETH,1,0,1,6,Margarops fuscatus,Pearly-eyed Thrasher
sprgmigr,PRAW,1.1666666666666667,0.5144957554275266,3,21,Setophaga discolor,Prairie Warbler
sprgmigr,PROW,1,0,1,2,Protonotaria citrea,Prothonotary Warbler
sprgmigr,RFLO,1,NA,1,1,Agapornis roseicollis,Rosy-faced Lovebird
sprgmigr,RLTH,1.5433070866141732,0.7427523408714484,5,196,Turdus plumbeus,Red-legged Thrush
sprgmigr,ROPI,29.736689814814813,57.29316513513575,512,51385,Columba livia,Rock Pigeon
sprgmigr,ROYT,3.1634615384615383,2.1138038088232474,15,329,Thalasseus maximus,Royal Tern
sprgmigr,RUTU,2.6666666666666665,2.0816659994661326,5,8,Arenaria interpres,Ruddy Turnstone
sprgmigr,SATE,2.5,1.2909944487358056,4,10,Thalasseus sandvicensis,Sandwich Tern
sprgmigr,SBAN,1.6666666666666667,1.1547005383792515,3,5,Crotophaga ani,Smooth-billed Ani
sprgmigr,SBMU,4.142857142857143,2.193062655175134,8,29,Lonchura punctulata,Scaly-breasted Munia
sprgmigr,SEPL,14.2,20.474374227311564,50,71,Charadrius semipalmatus,Semipalmated Plover
sprgmigr,SESA,1,NA,1,1,Calidris pusilla,Semipalmated Sandpiper
sprgmigr,SHCO,1.5416666666666667,1.2503622663458176,7,37,Molothrus bonariensis,Shiny Cowbird
sprgmigr,SNEG,1,0,1,2,Egretta thula,Snowy Egret
sprgmigr,SNPI,1,NA,1,1,Patagioenas squamosa,Scaly-naped Pigeon
sprgmigr,SPSA,1.1714285714285715,0.45281565433046006,3,41,Actitis macularius,Spotted Sandpiper
sprgmigr,SUCO,1,0,1,3,Cacatua galerita,Sulphur-crested Cockatoo
sprgmigr,TUVU,1.8333333333333333,1.1690451944500122,4,11,Cathartes aura,Turkey Vulture
sprgmigr,VEHU,1.264833574529667,0.9125020991526944,14,874,Mellisuga minima,Vervain Hummingbird
sprgmigr,VIWE,6.871345029239766,6.215336624570317,39,1175,Ploceus cucullatus,Village Weaver
sprgmigr,WILL,13.333333333333334,13.285330255586423,38,120,Tringa semipalmata,Willet
sprgmigr,WTTR,1.6666666666666667,1.1547005383792515,3,5,Phaethon lepturus,White-tailed Tropicbird
sprgmigr,WWDO,2.4598726114649683,1.7919108611845163,15,3862,Zenaida asiatica,White-winged Dove
sprgmigr,YCNH,2.5,2.962089229368306,17,185,Nyctanassa violacea,Yellow-crowned Night-Heron
sprgmigr,YFGR,2.3454545454545452,1.1099825343673098,9,2064,Tiaris olivaceus,Yellow-faced Grassquit
sprgmigr,YTWA,1,0,1,2,Setophaga dominica,Yellow-throated Warbler
